Step 10500: {'loss': 111.56985473632812, 'l1_loss': 125.68601989746094, 'l2_loss': 105.28555297851562}
Step 10600: {'loss': 112.3619155883789, 'l1_loss': 157.62130737304688, 'l2_loss': 104.48085021972656}
Step 10700: {'loss': 112.2519302368164, 'l1_loss': 155.86517333984375, 'l2_loss': 104.45867156982422}
Step 10800: {'loss': 112.22490692138672, 'l1_loss': 151.43800354003906, 'l2_loss': 104.65300750732422}
Step 10900: {'loss': 112.54011535644531, 'l1_loss': 144.89028930664062, 'l2_loss': 105.29560089111328}
Step 11000: {'loss': 112.47499084472656, 'l1_loss': 138.05148315429688, 'l2_loss': 105.57241821289062}
Step 11100: {'loss': 112.67276000976562, 'l1_loss': 146.10562133789062, 'l2_loss': 105.36747741699219}
Step 11200: {'loss': 112.79136657714844, 'l1_loss': 155.87405395507812, 'l2_loss': 104.99766540527344}
Step 11300: {'loss': 112.34957122802734, 'l1_loss': 154.1038818359375, 'l2_loss': 104.64437866210938}
Step 11400: {'loss': 112.20428466796875, 'l1_loss': 144.158203125, 'l2_loss': 104.99637603759766}
Step 11500: {'loss': 112.45018005371094, 'l1_loss': 143.22482299804688, 'l2_loss': 105.2889404296875}
Step 11600: {'loss': 112.7253189086914, 'l1_loss': 144.6427764892578, 'l2_loss': 105.49317932128906}
Step 11700: {'loss': 112.06580352783203, 'l1_loss': 151.93414306640625, 'l2_loss': 104.4690933227539}
Step 11800: {'loss': 111.98291015625, 'l1_loss': 148.05078125, 'l2_loss': 104.58036804199219}
Step 11900: {'loss': 112.14364624023438, 'l1_loss': 150.6598663330078, 'l2_loss': 104.61065673828125}
Step 12000: {'loss': 112.67472839355469, 'l1_loss': 148.35232543945312, 'l2_loss': 105.25711059570312}
Step 12100: {'loss': 111.97296142578125, 'l1_loss': 142.81527709960938, 'l2_loss': 104.83219909667969}
Step 12200: {'loss': 112.00628662109375, 'l1_loss': 137.92420959472656, 'l2_loss': 105.11007690429688}
Step 12300: {'loss': 111.9906997680664, 'l1_loss': 141.7936248779297, 'l2_loss': 104.90101623535156}
Step 12400: {'loss': 111.6208724975586, 'l1_loss': 139.71932983398438, 'l2_loss': 104.63490295410156}
Step 12500: {'loss': 111.84883117675781, 'l1_loss': 148.43130493164062, 'l2_loss': 104.4272689819336}
Step 12600: {'loss': 112.21981811523438, 'l1_loss': 139.63401794433594, 'l2_loss': 105.23812103271484}
Step 12700: {'loss': 112.07508087158203, 'l1_loss': 152.03933715820312, 'l2_loss': 104.47311401367188}
